obs_date;name;hospitalized;uci;recovered;death;confirmed;confirmed_new;altas;fallecimientos;codigo_ine;Posicion;perc_exit;confirmedrecovered;confirmed_estimated
2020-03-30;Salamanca;319; 51; 181;110;1078; 48; 181;110;37274;40.833333,-6.0; 37,80069; 897; 7857,14286
2020-03-30;Segovia;312; 23; 156; 69; 629; 62; 156; 69;40004;41.166667,-4.0; 30,66667; 473; 4928,57143
2020-03-30;Soria;112; 19;  71; 37; 550; 27;  71; 37;42173;41.666667,-2.666667; 34,25926; 479; 2642,85714
2020-03-30;Valladolid;465; 82; 145; 66; 929; 43; 145; 66;47186;41.583333,-4.666667; 31,27962; 784; 4714,28571
2020-03-30;Zamora; 99; 14;  36; 20; 209; 17;  36; 20;49275;41.75,-6.0; 35,71429; 173; 1428,57143
2020-03-31;Ávila;144; 16; 111; 54; 467; 21; 111; 54; 5019;40.616092,-4.929031; 32,72727; 356; 3857,14286
2020-03-31;Burgos;250; 55; 215; 69; 790; 41; 215; 69; 9059;42.383333,-3.666667; 24,29577; 575; 4928,57143
2020-03-31;León;464; 55; 176;100; 964; 46; 176;100;24089;42.666667,-6.0; 36,23188; 788; 7142,85714
2020-03-31;Palencia;115; 21;  42; 18; 325; 32;  42; 18;34120;42.432128,-4.520647; 30,00000; 283; 1285,71429
2020-03-31;Salamanca;348; 53; 209;123;1185;107; 209;123;37274;40.833333,-6.0; 37,04819; 976; 8785,71429
2020-03-31;Segovia;310; 23; 189; 77; 720; 91; 189; 77;40004;41.166667,-4.0; 28,94737; 531; 5500,00000
2020-03-31;Soria;118; 19;  87; 44; 555;  5;  87; 44;42173;41.666667,-2.666667; 33,58779; 468; 3142,85714
2020-03-31;Valladolid;498; 89; 187; 77; 988; 59; 187; 77;47186;41.583333,-4.666667; 29,16667; 801; 5500,00000
2020-03-31;Zamora;100; 14;  43; 23; 217;  8;  43; 23;49275;41.75,-6.0; 34,84848; 174; 1642,85714
2020-04-01;Ávila;164; 17; 132; 59; 512; 45; 132; 59; 5019;40.616092,-4.929031; 30,89005; 380; 4214,28571
2020-04-01;Burgos;247; 55; 250; 77; 848; 58; 250; 77; 9059;42.383333,-3.666667; 23,54740; 598; 5500,00000
2020-04-01;León;474; 55; 216;108;1007; 43; 216;108;24089;42.666667,-6.0; 33,33333; 791; 7714,28571
2020-04-01;Palencia;120; 20;  52; 23; 359; 34;  52; 23;34120;42.432128,-4.520647; 30,66667; 307; 1642,85714
2020-04-01;Salamanca;351; 54; 235;135;1316;131; 235;135;37274;40.833333,-6.0; 36,48649;1081; 9642,85714
2020-04-01;Segovia;308; 23; 210; 81; 811; 91; 210; 81;40004;41.166667,-4.0; 27,83505; 601; 5785,71429
2020-04-01;Soria;148; 20;  90; 44; 659;104;  90; 44;42173;41.666667,-2.666667; 32,83582; 569; 3142,85714
2020-04-01;Valladolid;447; 95; 262; 89;1109;121; 262; 89;47186;41.583333,-4.666667; 25,35613; 847; 6357,14286
2020-04-01;Zamora; 97; 14;  51; 25; 226;  9;  51; 25;49275;41.75,-6.0; 32,89474; 175; 1785,71429
2020-04-02;Ávila;161; 16; 151; 64; 560; 48; 151; 64; 5019;40.616092,-4.929031; 29,76744; 409; 4571,42857
2020-04-02;Burgos;238; 55; 277; 86; 895; 47; 277; 86; 9059;42.383333,-3.666667; 23,69146; 618; 6142,85714
2020-04-02;León;458; 52; 276;127;1066; 59; 276;127;24089;42.666667,-6.0; 31,51365; 790; 9071,42857
2020-04-02;Palencia;129; 20;  59; 24; 383; 24;  59; 24;34120;42.432128,-4.520647; 28,91566; 324; 1714,28571
2020-04-02;Salamanca;358; 53; 272;155;1413; 97; 272;155;37274;40.833333,-6.0; 36,29977;1141;11071,42857
2020-04-02;Segovia;317; 24; 235; 88; 886; 75; 235; 88;40004;41.166667,-4.0; 27,24458; 651; 6285,71429
2020-04-02;Soria;154; 22;  95; 46; 686; 27;  95; 46;42173;41.666667,-2.666667; 32,62411; 591; 3285,71429
2020-04-02;Valladolid;442; 96; 333;105;1188; 79; 333;105;47186;41.583333,-4.666667; 23,97260; 855; 7500,00000
2020-04-02;Zamora;101; 15;  61; 28; 278; 52;  61; 28;49275;41.75,-6.0; 31,46067; 217; 2000,00000
2020-04-03;Ávila;176; 15; 170; 66; 590; 30; 170; 66; 5019;40.616092,-4.929031; 27,96610; 420; 4714,28571
2020-04-03;Burgos;239; 54; 296; 92; 940; 45; 296; 92; 9059;42.383333,-3.666667; 23,71134; 644; 6571,42857
2020-04-03;León;421; 49; 339;144;1125; 59; 339;144;24089;42.666667,-6.0; 29,81366; 786;10285,71429
2020-04-03;Palencia;104; 18;  85; 29; 427; 44;  85; 29;34120;42.432128,-4.520647; 25,43860; 342; 2071,42857
2020-04-03;Salamanca;382; 54; 301;167;1489; 76; 301;167;37274;40.833333,-6.0; 35,68376;1188;11928,57143
2020-04-03;Segovia;290; 24; 271; 95; 966; 80; 271; 95;40004;41.166667,-4.0; 25,95628; 695; 6785,71429
2020-04-03;Soria;155; 20; 111; 49; 752; 66; 111; 49;42173;41.666667,-2.666667; 30,62500; 641; 3500,00000
2020-04-03;Valladolid;446;103; 381;114;1290;102; 381;114;47186;41.583333,-4.666667; 23,03030; 909; 8142,85714
2020-04-03;Zamora;103; 11;  67; 30; 296; 18;  67; 30;49275;41.75,-6.0; 30,92784; 229; 2142,85714
2020-04-04;Ávila;178; 15; 205; 69; 638; 48; 205; 69; 5019;40.616092,-4.929031; 25,18248; 433; 4928,57143
2020-04-04;Burgos;231; 55; 323; 96; 964; 24; 323; 96; 9059;42.383333,-3.666667; 22,91169; 641; 6857,14286
2020-04-04;León;383; 50; 398;159;1204; 79; 398;159;24089;42.666667,-6.0; 28,54578; 806;11357,14286
2020-04-04;Palencia;109; 19; 104; 31; 452; 25; 104; 31;34120;42.432128,-4.520647; 22,96296; 348; 2214,28571
2020-04-04;Salamanca;372; 55; 332;178;1579; 90; 332;178;37274;40.833333,-6.0; 34,90196;1247;12714,28571
2020-04-04;Segovia;263; 23; 311;102;1051; 85; 311;102;40004;41.166667,-4.0; 24,69734; 740; 7285,71429
2020-04-04;Soria;137; 19; 136; 52; 769; 17; 136; 52;42173;41.666667,-2.666667; 27,65957; 633; 3714,28571
2020-04-04;Valladolid;438;103; 439;125;1352; 62; 439;125;47186;41.583333,-4.666667; 22,16312; 913; 8928,57143
2020-04-04;Zamora;112; 12;  83; 35; 323; 27;  83; 35;49275;41.75,-6.0; 29,66102; 240; 2500,00000
2020-04-05;Ávila;187; 15; 214; 73; 679; 41; 214; 73; 5019;40.616092,-4.929031; 25,43554; 465; 5214,28571
2020-04-05;Burgos;222; 53; 343;103; 985; 21; 343;103; 9059;42.383333,-3.666667; 23,09417; 642; 7357,14286
2020-04-05;León;348; 51; 452;175;1261; 57; 452;175;24089;42.666667,-6.0; 27,91069; 809;12500,00000
2020-04-05;Palencia;110; 19; 111; 36; 472; 20; 111; 36;34120;42.432128,-4.520647; 24,48980; 361; 2571,42857
2020-04-05;Salamanca;361; 56; 366;194;1659; 80; 366;194;37274;40.833333,-6.0; 34,64286;1293;13857,14286
2020-04-05;Segovia;241; 22; 340;107;1148; 97; 340;107;40004;41.166667,-4.0; 23,93736; 808; 7642,85714
2020-04-05;Soria;137; 20; 149; 61; 803; 34; 149; 61;42173;41.666667,-2.666667; 29,04762; 654; 4357,14286
2020-04-05;Valladolid;446;100; 465;133;1403; 51; 465;133;47186;41.583333,-4.666667; 22,24080; 938; 9500,00000
2020-04-05;Zamora;108; 12;  93; 37; 339; 16;  93; 37;49275;41.75,-6.0; 28,46154; 246; 2642,85714
2020-04-06;Ávila;197; 13; 225; 79; 732; 53; 225; 79; 5019;40.616092,-4.929031; 25,98684; 507; 5642,85714
2020-04-06;Burgos;221; 53; 360;113;1003; 18; 360;113; 9059;42.383333,-3.666667; 23,89006; 643; 8071,42857
2020-04-06;León;323; 50; 498;186;1315; 54; 498;186;24089;42.666667,-6.0; 27,19298; 817;13285,71429
2020-04-06;Palencia;118; 19; 114; 39; 486; 14; 114; 39;34120;42.432128,-4.520647; 25,49020; 372; 2785,71429
2020-04-06;Salamanca;352; 53; 402;209;1719; 60; 402;209;37274;40.833333,-6.0; 34,20622;1317;14928,57143
2020-04-06;Segovia;239; 22; 361;109;1252;104; 361;109;40004;41.166667,-4.0; 23,19149; 891; 7785,71429
2020-04-06;Soria;114; 21; 164; 64; 824; 21; 164; 64;42173;41.666667,-2.666667; 28,07018; 660; 4571,42857
2020-04-06;Valladolid;456;103; 487;145;1445; 42; 487;145;47186;41.583333,-4.666667; 22,94304; 958;10357,14286
2020-04-06;Zamora;103; 12; 100; 38; 340;  1; 100; 38;49275;41.75,-6.0; 27,53623; 240; 2714,28571
2020-04-07;Ávila;179; 13; 253; 83; 766; 34; 253; 83; 5019;40.616092,-4.929031; 24,70238; 513; 5928,57143
2020-04-07;Burgos;215; 53; 387;120;1024; 21; 387;120; 9059;42.383333,-3.666667; 23,66864; 637; 8571,42857
2020-04-07;León;282; 52; 564;196;1344; 29; 564;196;24089;42.666667,-6.0; 25,78947; 780;14000,00000
2020-04-07;Palencia;108; 18; 126; 41; 510; 24; 126; 41;34120;42.432128,-4.520647; 24,55090; 384; 2928,57143
2020-04-07;Salamanca;341; 50; 439;217;1807; 88; 439;217;37274;40.833333,-6.0; 33,07927;1368;15500,00000
2020-04-07;Segovia;228; 24; 387;115;1349; 97; 387;115;40004;41.166667,-4.0; 22,90837; 962; 8214,28571
2020-04-07;Soria;113; 21; 172; 64; 837; 13; 172; 64;42173;41.666667,-2.666667; 27,11864; 665; 4571,42857
2020-04-07;Valladolid;423; 99; 553;153;1602;157; 553;153;47186;41.583333,-4.666667; 21,67139;1049;10928,57143
2020-04-07;Zamora;103; 12; 107; 39; 342;  2; 107; 39;49275;41.75,-6.0; 26,71233; 235; 2785,71429
2020-04-08;Ávila;163; 13; 272; 85; 793; 27; 272; 85; 5019;40.616092,-4.929031; 23,80952; 521; 6071,42857
2020-04-08;Burgos;205; 53; 416;124;1053; 29; 416;124; 9059;42.383333,-3.666667; 22,96296; 637; 8857,14286
